"Movie Title","Year","Runtime","Genre 1","Genre 2","Genre 3","Description","Director","Actor 1","Actor 2","Actor 3","Actor 4","Won","Won IA","Won IA Proba"
"Judas e o Messias Negro","2021","126","Biography","Drama","History","Offered a plea deal by the FBI, William O'Neal infiltrates the Illinois chapter of the Black Panther Party to gather intelligence on Chairman Fred Hampton.","Shaka King"," Daniel Kaluuya"," LaKeith Stanfield"," Jesse Plemons"," Dominique Fishback","N","1","0.5238769161159127"
"King Richard: Criando Campeãs","2021","144","Biography","Drama","Sport","A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.","Reinaldo Marcus Green"," Will Smith"," Aunjanue Ellis"," Jon Bernthal"," Saniyya Sidney","N","0","0.4921601529504699"
"O Beco do Pesadelo","2021","150","Crime","Drama","Thriller","An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.","Guillermo del Toro"," Bradley Cooper"," Cate Blanchett"," Toni Collette"," Willem Dafoe","N","1","0.5504727069232838"
"Amor, Sublime Amor","2021","156","Crime","Drama","Musical","An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.","Steven Spielberg"," Ansel Elgort"," Rachel Zegler"," Ariana DeBose"," David Alvarez","N","1","0.5531489618249684"
"Drive My Car","2021","179","Drama","","","After his wife's unexpected death, Yusuke Kafuku, a renowned stage actor and director, receives an offer to direct a production of Uncle Vanya in Hiroshima. There, he begins to face the haunting mysteries his wife left behind.","Ryûsuke Hamaguchi"," Hidetoshi Nishijima"," Tôko Miura"," Reika Kirishima"," Park Yu-rim","N","1","0.5352587956871502"
"Belfast","2021","98","Biography","Drama","History","A young boy and his working-class Belfast family experience the tumultuous late 1960s.","Kenneth Branagh"," Jude Hill"," Lewis McAskie"," Caitriona Balfe"," Jamie Dornan","N","0","0.41618757404386386"
"Duna","2021","155","Action","Adventure","Drama","Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","Denis Villeneuve"," Timothée Chalamet"," Rebecca Ferguson"," Zendaya"," Oscar Isaac","N","1","0.5531489618249684"
"Não Olhe para Cima","2021","138","Comedy","Drama","Sci-Fi","Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy planet Earth.","Adam McKay"," Leonardo DiCaprio"," Jennifer Lawrence"," Meryl Streep"," Cate Blanchett","N","0","0.4921601529504699"
"Licorice Pizza","2021","133","Comedy","Drama","Romance","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.","Paul Thomas Anderson"," Alana Haim"," Cooper Hoffman"," Sean Penn"," Tom Waits","N","1","0.5257127186254035"
"No Ritmo do Coração","2021","111","Comedy","Drama","Music","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her love of music by wanting to go to Berklee College of Music and her fear of abandoning her parents.","Sian Heder"," Emilia Jones"," Marlee Matlin"," Troy Kotsur"," Daniel Durant","N","0","0.4617427885109909"
"Ataque dos Cães","2021","126","Drama","Romance","Western","Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.","Jane Campion"," Benedict Cumberbatch"," Kirsten Dunst"," Jesse Plemons"," Kodi Smit-McPhee","N","0","0.4921601529504699"
