"Movie Title","Year","Runtime","Genre 1","Genre 2","Genre 3","Description","Director","Actor 1","Actor 2","Actor 3","Actor 4"
"Nomadland","2020","107","Drama","","","A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.","Chloé Zhao"," Frances McDormand"," David Strathairn"," Linda May"," Gay DeForest"
"Parasita","2019","132","Comedy","Drama","Thriller","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","Bong Joon Ho"," Kang-ho Song"," Sun-kyun Lee"," Yeo-jeong Cho"," Woo-sik Choi"
"Green Book: O Guia","2018","130","Biography","Comedy","Drama","A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.","Peter Farrelly"," Viggo Mortensen"," Mahershala Ali"," Linda Cardellini"," Sebastian Maniscalco"
"A Forma da Água","2017","123","Drama","Fantasy","Romance","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.","Guillermo del Toro"," Sally Hawkins"," Octavia Spencer"," Michael Shannon"," Doug Jones"
"Moonlight: Sob a Luz do Luar","2016","111","Drama","","","A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood.","Barry Jenkins"," Mahershala Ali"," Naomie Harris"," Trevante Rhodes"," Alex R. Hibbert"
"Spotlight: Segredos Revelados","2015","129","Biography","Crime","Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Tom McCarthy"," Mark Ruffalo"," Michael Keaton"," Rachel McAdams"," Liev Schreiber"
"Birdman ou (A Inesperada Virtude da Ignorância)","2014","119","Comedy","Drama","","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","Alejandro G. Iñárritu"," Michael Keaton"," Zach Galifianakis"," Edward Norton"," Andrea Riseborough"
"12 Anos de Escravidão","2013","134","Biography","Drama","History","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Steve McQueen"," Chiwetel Ejiofor"," Michael Kenneth Williams"," Michael Fassbender"," Brad Pitt"
"Argo","2012","120","Biography","Drama","Thriller","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","Ben Affleck"," Ben Affleck"," Bryan Cranston"," John Goodman"," Alan Arkin"
"O Artista","2011","100","Comedy","Drama","Romance","An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.","Michel Hazanavicius"," Jean Dujardin"," Bérénice Bejo"," John Goodman"," James Cromwell"
"O Discurso do Rei","2010","118","Biography","Drama","History","The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.","Tom Hooper"," Colin Firth"," Geoffrey Rush"," Helena Bonham Carter"," Derek Jacobi"
"Quem Quer Ser um Milionário?","2008","120","Drama","Romance","","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","Danny Boyle"," Dev Patel"," Freida Pinto"," Saurabh Shukla"," Anil Kapoor"
"Guerra ao Terror","2008","131","Drama","Thriller","War","During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.","Kathryn Bigelow"," Jeremy Renner"," Anthony Mackie"," Brian Geraghty"," Guy Pearce"
"Onde os Fracos Não Têm Vez","2007","122","Crime","Drama","Thriller","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.","Ethan Coen"," Tommy Lee Jones"," Javier Bardem"," Josh Brolin"," Woody Harrelson"
"Os Infiltrados","2006","151","Crime","Drama","Thriller","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","Martin Scorsese"," Leonardo DiCaprio"," Matt Damon"," Jack Nicholson"," Mark Wahlberg"
"Menina de Ouro","2004","132","Drama","Sport","","A determined woman works with a hardened boxing trainer to become a professional.","Clint Eastwood"," Hilary Swank"," Clint Eastwood"," Morgan Freeman"," Jay Baruchel"
"Crash: No Limite","2004","112","Crime","Drama","Thriller","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","Paul Haggis"," Don Cheadle"," Sandra Bullock"," Thandiwe Newton"," Karina Arroyave"
"O Senhor dos Anéis: O Retorno do Rei","2003","201","Action","Adventure","Drama","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","Peter Jackson"," Elijah Wood"," Viggo Mortensen"," Ian McKellen"," Orlando Bloom"
"Chicago","2002","113","Comedy","Crime","Musical","Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.","Rob Marshall"," Renée Zellweger"," Catherine Zeta-Jones"," Richard Gere"," Taye Diggs"
"Uma Mente Brilhante","2001","135","Biography","Drama","","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.","Ron Howard"," Russell Crowe"," Ed Harris"," Jennifer Connelly"," Christopher Plummer"
"Gladiador","2000","155","Action","Adventure","Drama","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","Ridley Scott"," Russell Crowe"," Joaquin Phoenix"," Connie Nielsen"," Oliver Reed"
"Beleza Americana","1999","122","Drama","","","A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","Sam Mendes"," Kevin Spacey"," Annette Bening"," Thora Birch"," Wes Bentley"
"Shakespeare Apaixonado","1998","123","Comedy","Drama","History","The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.","John Madden"," Gwyneth Paltrow"," Joseph Fiennes"," Geoffrey Rush"," Tom Wilkinson"
"Titanic","1997","194","Drama","Romance","","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","James Cameron"," Leonardo DiCaprio"," Kate Winslet"," Billy Zane"," Kathy Bates"
"O Paciente Inglês","1996","162","Drama","Romance","War","At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair.","Anthony Minghella"," Ralph Fiennes"," Juliette Binoche"," Willem Dafoe"," Kristin Scott Thomas"
"Coração Valente","1995","178","Biography","Drama","History","Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.","Mel Gibson"," Mel Gibson"," Sophie Marceau"," Patrick McGoohan"," Angus Macfadyen"
"Forrest Gump: O Contador de Histórias","1994","142","Drama","Romance","","The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","Robert Zemeckis"," Tom Hanks"," Robin Wright"," Gary Sinise"," Sally Field"
"A Lista de Schindler","1993","195","Biography","Drama","History","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Steven Spielberg"," Liam Neeson"," Ralph Fiennes"," Ben Kingsley"," Caroline Goodall"
"Os Imperdoáveis","1992","130","Drama","Western","","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Clint Eastwood"," Clint Eastwood"," Gene Hackman"," Morgan Freeman"," Richard Harris"
"O Silêncio dos Inocentes","1991","118","Crime","Drama","Thriller","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","Jonathan Demme"," Jodie Foster"," Anthony Hopkins"," Lawrence A. Bonney"," Kasi Lemmons"
"Dança com Lobos","1990","181","Adventure","Drama","Western","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.","Kevin Costner"," Kevin Costner"," Mary McDonnell"," Graham Greene"," Rodney A. Grant"
"Conduzindo Miss Daisy","1989","99","Drama","","","An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.","Bruce Beresford"," Morgan Freeman"," Jessica Tandy"," Dan Aykroyd"," Patti LuPone"
"Rain Man","1988","133","Drama","","","After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.","Barry Levinson"," Dustin Hoffman"," Tom Cruise"," Valeria Golino"," Gerald R. Molen"
"O Último Imperador","1987","163","Biography","Drama","History","The story of the final Emperor of China.","Bernardo Bertolucci"," John Lone"," Joan Chen"," Peter O'Toole"," Ruocheng Ying"
"Platoon","1986","120","Drama","War","","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.","Oliver Stone"," Charlie Sheen"," Tom Berenger"," Willem Dafoe"," Keith David"
"Entre Dois Amores","1985","161","Biography","Drama","Romance","In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter.","Sydney Pollack"," Meryl Streep"," Robert Redford"," Klaus Maria Brandauer"," Michael Kitchen"
"Amadeus","1984","160","Biography","Drama","Music","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","Milos Forman"," F. Murray Abraham"," Tom Hulce"," Elizabeth Berridge"," Roy Dotrice"
"Laços de Ternura","1983","132","Comedy","Drama","","Follows hard-to-please Aurora looking for love, and her daughter's family problems.","James L. Brooks"," Shirley MacLaine"," Debra Winger"," Jack Nicholson"," Danny DeVito"
"Gandhi","1982","191","Biography","Drama","","The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.","Richard Attenborough"," Ben Kingsley"," John Gielgud"," Rohini Hattangadi"," Roshan Seth"
"Carruagens de Fogo","1981","125","Biography","Drama","Sport","Two British track athletes, one a determined Jew and the other a devout Christian, are driven to win in the 1924 Olympics as they wrestle with issues of pride and conscience.","Hugh Hudson"," Ben Cross"," Ian Charleson"," Nicholas Farrell"," Nigel Havers"
"Gente como a Gente","1980","124","Drama","","","The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.","Robert Redford"," Donald Sutherland"," Mary Tyler Moore"," Judd Hirsch"," Timothy Hutton"
"Kramer vs. Kramer","1979","105","Drama","","","After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.","Robert Benton"," Dustin Hoffman"," Meryl Streep"," Jane Alexander"," Justin Henry"
"O Franco Atirador","1978","183","Drama","War","","An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.","Michael Cimino"," Robert De Niro"," Christopher Walken"," John Cazale"," John Savage"
"Noivo Neurótico, Noiva Nervosa","1977","93","Comedy","Romance","","Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages.","Woody Allen"," Woody Allen"," Diane Keaton"," Tony Roberts"," Carol Kane"
"Rocky: Um Lutador","1976","120","Drama","Sport","","A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.","John G. Avildsen"," Sylvester Stallone"," Talia Shire"," Burt Young"," Carl Weathers"
"Um Estranho no Ninho","1975","133","Drama","","","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","Milos Forman"," Jack Nicholson"," Louise Fletcher"," Michael Berryman"," Peter Brocco"
"O Poderoso Chefão II","1974","202","Crime","Drama","","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Francis Ford Coppola"," Al Pacino"," Robert De Niro"," Robert Duvall"," Diane Keaton"
"Golpe de Mestre","1973","129","Comedy","Crime","Drama","Two grifters team up to pull off the ultimate con.","George Roy Hill"," Paul Newman"," Robert Redford"," Robert Shaw"," Charles Durning"
"O Poderoso Chefão","1972","175","Crime","Drama","","The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.","Francis Ford Coppola"," Marlon Brando"," Al Pacino"," James Caan"," Diane Keaton"
"Operação França","1971","104","Action","Crime","Drama","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.","William Friedkin"," Gene Hackman"," Roy Scheider"," Fernando Rey"," Tony Lo Bianco"
"Patton, Rebelde ou Herói?","1970","172","Biography","Drama","War","The World War II phase of the career of controversial American general George S. Patton.","Franklin J. Schaffner"," George C. Scott"," Karl Malden"," Stephen Young"," Michael Strong"
"Perdidos na Noite","1969","113","Drama","","","A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.","John Schlesinger"," Dustin Hoffman"," Jon Voight"," Sylvia Miles"," John McGiver"
"Oliver!","1968","153","Drama","Family","Musical","After being sold to a mortician, young orphan Oliver Twist runs away and meets a group of boys trained to be pickpockets by an elderly mentor in 1830s London.","Carol Reed"," Mark Lester"," Ron Moody"," Shani Wallis"," Oliver Reed"
"No Calor da Noite","1967","110","Crime","Drama","Mystery","A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.","Norman Jewison"," Sidney Poitier"," Rod Steiger"," Warren Oates"," Lee Grant"
"O Homem que Não Vendeu sua Alma","1966","120","Biography","Drama","History","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.","Fred Zinnemann"," Paul Scofield"," Wendy Hiller"," Robert Shaw"," Leo McKern"
"A Noviça Rebelde","1965","172","Biography","Drama","Family","A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.","Robert Wise"," Julie Andrews"," Christopher Plummer"," Eleanor Parker"," Richard Haydn"
"Minha Bela Dama","1964","170","Drama","Family","Musical","In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl Eliza Doolittle presentable in high society.","George Cukor"," Audrey Hepburn"," Rex Harrison"," Stanley Holloway"," Wilfrid Hyde-White"
"As Aventuras de Tom Jones","1963","129","Adventure","Comedy","History","The romantic and chivalrous adventures of adopted bastard Tom Jones in 18th-century England.","Tony Richardson"," Albert Finney"," Susannah York"," George Devine"," Rachel Kempson"
"Lawrence da Arábia","1962","228","Adventure","Biography","Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","David Lean"," Peter O'Toole"," Alec Guinness"," Anthony Quinn"," Jack Hawkins"
"Amor, Sublime Amor","1961","153","Crime","Drama","Musical","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","Jerome Robbins"," Natalie Wood"," George Chakiris"," Richard Beymer"," Russ Tamblyn"
"Se Meu Apartamento Falasse","1960","125","Comedy","Drama","Romance","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Billy Wilder"," Jack Lemmon"," Shirley MacLaine"," Fred MacMurray"," Ray Walston"
"Ben-Hur","1959","212","Adventure","Drama","History","After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","William Wyler"," Charlton Heston"," Jack Hawkins"," Stephen Boyd"," Haya Harareet"
"Gigi","1958","115","Comedy","Musical","Romance","Weary of the conventions of Parisian society, a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship which may not stay platonic for long.","Vincente Minnelli"," Leslie Caron"," Maurice Chevalier"," Louis Jourdan"," Hermione Gingold"
"A Ponte do Rio Kwai","1957","161","Adventure","Drama","War","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.","David Lean"," William Holden"," Alec Guinness"," Jack Hawkins"," Sessue Hayakawa"
"A Volta ao Mundo em 80 Dias","1956","167","Adventure","Comedy","Family","A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.","Michael Anderson"," David Niven"," Cantinflas"," Finlay Currie"," Robert Morley"
"Marty","1955","90","Drama","Romance","","A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.","Delbert Mann"," Ernest Borgnine"," Betsy Blair"," Esther Minciotti"," Augusta Ciolli"
"Sindicato de Ladrões","1954","108","Crime","Drama","Thriller","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","Elia Kazan"," Marlon Brando"," Karl Malden"," Lee J. Cobb"," Rod Steiger"
"A um Passo da Eternidade","1953","118","Drama","Romance","War","At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair.","Fred Zinnemann"," Burt Lancaster"," Montgomery Clift"," Deborah Kerr"," Donna Reed"
"O Maior Espetáculo da Terra","1952","152","Drama","Family","Romance","The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.","Cecil B. DeMille"," James Stewart"," Charlton Heston"," Betty Hutton"," Cornel Wilde"
"Sinfonia de Paris","1951","114","Drama","Musical","Romance","Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.","Vincente Minnelli"," Gene Kelly"," Leslie Caron"," Oscar Levant"," Georges Guétary"
"A Malvada","1950","138","Drama","","","A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.","Joseph L. Mankiewicz"," Bette Davis"," Anne Baxter"," George Sanders"," Celeste Holm"
"A Grande Ilusão","1949","110","Drama","Film-Noir","","The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.","Robert Rossen"," Broderick Crawford"," John Ireland"," Joanne Dru"," John Derek"
"Hamlet","1948","154","Drama","","","Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.","Laurence Olivier"," Laurence Olivier"," Jean Simmons"," John Laurie"," Esmond Knight"
"A Luz é para Todos","1947","118","Drama","Romance","","A reporter pretends to be Jewish in order to cover a story on anti-Semitism, and personally discovers the true depths of bigotry and hatred.","Elia Kazan"," Gregory Peck"," Dorothy McGuire"," John Garfield"," Celeste Holm"
"Os Melhores Anos de Nossa Vida","1946","170","Drama","Romance","War","Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","William Wyler"," Myrna Loy"," Dana Andrews"," Fredric March"," Teresa Wright"
"Farrapo Humano","1945","101","Drama","Film-Noir","","The desperate life of a chronic alcoholic is followed through a four-day drinking bout.","Billy Wilder"," Ray Milland"," Jane Wyman"," Phillip Terry"," Howard Da Silva"
"O Bom Pastor","1944","126","Comedy","Drama","Music","When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member.","Leo McCarey"," Bing Crosby"," Barry Fitzgerald"," Frank McHugh"," James Brown"
"Rosa de Esperança","1942","134","Drama","Romance","War","A British family struggles to survive the first months of World War II.","William Wyler"," Greer Garson"," Walter Pidgeon"," Teresa Wright"," May Whitty"
"Casablanca","1942","102","Drama","Romance","War","A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","Michael Curtiz"," Humphrey Bogart"," Ingrid Bergman"," Paul Henreid"," Claude Rains"
"Como Era Verde o Meu Vale","1941","118","Drama","Family","","At the turn of the century in a Welsh mining village, the Morgans, he stern, she gentle, raise coal-mining sons and hope their youngest will find a better life.","John Ford"," Walter Pidgeon"," Maureen O'Hara"," Anna Lee"," Donald Crisp"
"Rebecca, a Mulher Inesquecível","1940","130","Drama","Film-Noir","Mystery","A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.","Alfred Hitchcock"," Laurence Olivier"," Joan Fontaine"," George Sanders"," Judith Anderson"
"...E o Vento Levou","1939","238","Drama","History","Romance","The manipulative daughter of a Georgia plantation owner conducts a turbulent romance with a roguish profiteer during the American Civil War and Reconstruction periods.","Victor Fleming"," Clark Gable"," Vivien Leigh"," Thomas Mitchell"," Barbara O'Neil"
"Do Mundo Nada se Leva","1938","126","Comedy","Drama","Romance","The son of a snobbish Wall Street banker becomes engaged to a woman from a good-natured but decidedly eccentric family, not realizing that his father is trying to force her family from their home for a real estate development.","Frank Capra"," Jean Arthur"," James Stewart"," Lionel Barrymore"," Edward Arnold"
"A Vida de Emile Zola","1937","116","Biography","Drama","","The biopic of the famous French muckraking writer and his involvement in fighting the injustice of the Dreyfus Affair.","William Dieterle"," Paul Muni"," Gale Sondergaard"," Joseph Schildkraut"," Gloria Holden"
"Ziegfeld, o Criador de Estrelas","1936","176","Drama","Musical","","The ups and downs of Florenz Ziegfeld Jr., famed producer of extravagant stage revues, are portrayed.","Robert Z. Leonard"," William Powell"," Myrna Loy"," Luise Rainer"," Frank Morgan"
"O Grande Motim","1935","132","Adventure","Biography","Drama","First mate Fletcher Christian leads a revolt against his sadistic commander, Captain Bligh, in this classic seafaring adventure, based on the real-life 1789 mutiny.","Frank Lloyd"," Charles Laughton"," Clark Gable"," Franchot Tone"," Herbert Mundin"
"Aconteceu Naquela Noite","1934","105","Comedy","Romance","","A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.","Frank Capra"," Clark Gable"," Claudette Colbert"," Walter Connolly"," Roscoe Karns"
"Cavalgada","1933","112","Drama","Romance","War","A portrayal of the triumphs and tragedies of two English families, the upper-crust Marryots and the working-class Bridgeses, from 1899 to 1933.","Frank Lloyd"," Diana Wynyard"," Clive Brook"," Una O'Connor"," Herbert Mundin"
"Grande Hotel","1932","112","Drama","Romance","","A group of very different individuals staying at a luxurious hotel in Berlin deal with each of their respective dramas.","Edmund Goulding"," Greta Garbo"," John Barrymore"," Joan Crawford"," Wallace Beery"
"Cimarron","1931","123","Drama","Western","","A newspaper editor settles in an Oklahoma boom town with his reluctant wife at the end of the nineteenth century.","Wesley Ruggles"," Richard Dix"," Irene Dunne"," Estelle Taylor"," Nance O'Neil"
"Sem Novidade no Front","1930","152","Drama","War","","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","Lewis Milestone"," Lew Ayres"," Louis Wolheim"," John Wray"," Arnold Lucy"
"Melodia da Broadway","1929","100","Drama","Musical","Romance","A pair of sisters from the vaudeville circuit try to make it big time on Broadway, but matters of the heart complicate the attempt.","Harry Beaumont"," Bessie Love"," Anita Page"," Charles King"," Eddie Kane"
"Asas","1927","144","Drama","Romance","War","Two young men, one rich, one middle class, who are in love with the same woman, become fighter pilots in World War I.","William A. Wellman"," Clara Bow"," Charles 'Buddy' Rogers"," Richard Arlen"," Jobyna Ralston"
"Aurora","1927","94","Drama","Romance","","A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.","F.W. Murnau"," George O'Brien"," Janet Gaynor"," Margaret Livingston"," Bodil Rosing"
